match_date,league,HomeTeam,AwayTeam,home_score,away_score,both_teams_score,over_2_5,first_half_home,first_half_away,first_half_result,home_corners,away_corners,Total_corners,Corners_result,home_yellow_cards,away_yellow_cards,Card_result
05/02/2023,N1,Cambuur,Ajax,0,5,NG,Yes,0,2,Away Win,3,6,9,Away Win,3,1,Home Win
05/02/2023,N1,Feyenoord,PSV Eindhoven,2,2,GG,Yes,0,1,Away Win,12,1,13,Home Win,2,7,Away Win
05/02/2023,N1,Go Ahead Eagles,Nijmegen,1,0,NG,No,1,0,Home Win,2,6,8,Away Win,0,4,Away Win
05/02/2023,N1,Groningen,Twente,1,1,GG,No,0,1,Away Win,5,5,10,Draw,0,1,Away Win
10/02/2023,N1,AZ Alkmaar,Excelsior,5,0,NG,Yes,5,0,Home Win,10,0,10,Home Win,0,1,Away Win
11/02/2023,N1,Nijmegen,Cambuur,0,0,NG,No,0,0,Draw,14,4,18,Home Win,2,4,Away Win
11/02/2023,N1,PSV Eindhoven,Groningen,6,0,NG,Yes,1,0,Home Win,18,1,19,Home Win,0,0,Draw
11/02/2023,N1,FC Emmen,For Sittard,0,1,NG,No,0,0,Draw,3,6,9,Away Win,1,1,Draw
12/02/2023,N1,Sparta Rotterdam,Go Ahead Eagles,2,1,GG,Yes,1,0,Home Win,7,4,11,Home Win,1,3,Away Win
12/02/2023,N1,Heerenveen,Feyenoord,1,2,GG,Yes,0,2,Away Win,5,7,12,Away Win,1,1,Draw
12/02/2023,N1,Vitesse,Utrecht,2,0,NG,No,0,0,Draw,3,8,11,Away Win,1,2,Away Win
12/02/2023,N1,Ajax,Waalwijk,3,1,GG,Yes,0,1,Away Win,10,2,12,Home Win,2,2,Draw
12/02/2023,N1,Twente,Volendam,3,0,NG,Yes,3,0,Home Win,9,2,11,Home Win,1,0,Home Win
