match_date,league,home_team,away_team,home_score,away_score,both_teams_score,over_2_5,first_half_home,first_half_away,first_half_result,home_corners,away_corners,Total_corners,Corners_result,home_yellow_cards,away_yellow_cards,Card_result
22/09/2021,SP1,Espanol,Alaves,1,0,NG,No,0,0,Draw,4,8,12,Away Win,2,1,Home Win
22/09/2021,SP1,Sevilla,Valencia,3,1,GG,Yes,3,1,Home Win,1,4,5,Away Win,5,3,Home Win
22/09/2021,SP1,Real Madrid,Mallorca,6,1,GG,Yes,3,1,Home Win,3,2,5,Home Win,2,1,Home Win
22/09/2021,SP1,Villarreal,Elche,4,1,GG,Yes,2,1,Home Win,8,7,15,Home Win,1,2,Away Win
23/09/2021,SP1,Granada,Sociedad,2,3,GG,Yes,1,0,Home Win,4,7,11,Away Win,5,1,Home Win
23/09/2021,SP1,Osasuna,Betis,1,3,GG,Yes,1,1,Draw,4,7,11,Away Win,2,0,Home Win
23/09/2021,SP1,Cadiz,Barcelona,0,0,NG,No,0,0,Draw,4,5,9,Away Win,3,4,Away Win
25/09/2021,SP1,Alaves,Ath Madrid,1,0,NG,No,1,0,Home Win,3,8,11,Away Win,2,3,Away Win
25/09/2021,SP1,Valencia,Ath Bilbao,1,1,GG,No,0,0,Draw,4,5,9,Away Win,5,2,Home Win
25/09/2021,SP1,Sevilla,Espanol,2,0,NG,No,1,0,Home Win,4,8,12,Away Win,4,0,Home Win
25/09/2021,SP1,Real Madrid,Villarreal,0,0,NG,No,0,0,Draw,6,3,9,Home Win,1,2,Away Win
26/09/2021,SP1,Mallorca,Osasuna,2,3,GG,Yes,2,1,Home Win,5,5,10,Draw,2,3,Away Win
26/09/2021,SP1,Barcelona,Levante,3,0,NG,Yes,2,0,Home Win,11,1,12,Home Win,1,3,Away Win
26/09/2021,SP1,Sociedad,Elche,1,0,NG,No,0,0,Draw,6,1,7,Home Win,1,3,Away Win
26/09/2021,SP1,Vallecano,Cadiz,3,1,GG,Yes,2,1,Home Win,4,3,7,Home Win,2,4,Away Win
26/09/2021,SP1,Betis,Getafe,2,0,NG,No,1,0,Home Win,3,3,6,Draw,1,3,Away Win
27/09/2021,SP1,Celta,Granada,1,0,NG,No,0,0,Draw,5,3,8,Home Win,2,7,Away Win
01/10/2021,SP1,Ath Bilbao,Alaves,1,0,NG,No,1,0,Home Win,13,9,22,Home Win,3,2,Home Win
02/10/2021,SP1,Osasuna,Vallecano,1,0,NG,No,0,0,Draw,6,3,9,Home Win,3,3,Draw
02/10/2021,SP1,Mallorca,Levante,1,0,NG,No,0,0,Draw,8,3,11,Home Win,4,4,Draw
